zipcode,racial_maj,total_pop,no_debts,total_debt_amt,summed_debt_amt,water_balance,sewer_balance,tax_balance,penalty_balance,garbage_balance,other_balance,no_metered_homes,no_unmetered_homes,total_debt_metered,total_debt_unmetered,avg_debt,avg_metered_debt,avg_unmetered_debt
60402,Latino,62960,10,39874.670000000006,39874.670000000006,0.0,22355.179999999997,22355.179999999997,17519.489999999994,0.0,0.0,0,10,0,39874.670000000006,3987.4670000000006,,3987.4670000000006
60804,Latino,82383,6,743802.74,743802.74,743802.74,0.0,0.0,0.0,0.0,0.0,6,0,743802.74,0,0.0,0.0,
60018,White,30037,4,126683.14,126683.14,126683.14,0.0,0.0,0.0,0.0,0.0,4,0,126683.14,0,0.0,0.0,
60706,White,23114,3,28550.12,28550.12,28550.12,0.0,0.0,0.0,0.0,0.0,3,0,28550.12,0,0.0,0.0,
60160,Latino,25666,2,173165.1,173165.1,173165.1,0.0,0.0,0.0,0.0,0.0,2,0,173165.1,0,0.0,0.0,
60171,White,10076,2,594.4200000000001,594.42,0.0,587.0999999999999,587.0999999999999,7.32,0.0,0.0,0,2,0,594.4200000000001,297.21000000000004,,297.21000000000004
60302,White,31620,2,119140.39,119140.39,119140.39,0.0,0.0,0.0,0.0,0.0,2,0,119140.39,0,0.0,0.0,
60406,,25338,2,15781696.86,15781696.86,14579694.51,0.0,0.0,1201934.35,0.0,68.0,2,0,15781696.86,0,0.0,0.0,
60712,White,12434,2,4811.61,4811.61,0.0,2911.7799999999997,2911.7799999999997,1899.83,0.0,0.0,0,2,0,4811.61,2405.805,,2405.805
60803,White,22405,2,249258.05000000002,249258.05000000002,223293.01,5776.88,5776.88,20188.16,0.0,0.0,2,0,249258.05000000002,0,0.0,0.0,
60053,White,23089,1,504.38,504.38,172.36,172.36,172.36,60.02,0.0,0.0,1,0,504.38,0,0.0,0.0,
60153,Black,23578,1,438726.59,438726.59,422957.65,0.0,0.0,15768.94,0.0,0.0,1,0,438726.59,0,0.0,0.0,
60176,White,11621,1,69662.02,69662.02,69662.02,0.0,0.0,0.0,0.0,0.0,1,0,69662.02,0,0.0,0.0,
60301,White,2831,1,35.58,35.58,0.0,0.0,0.0,35.58,0.0,0.0,1,0,35.58,0,0.0,0.0,
60304,White,17782,1,216174.62,216174.62,216174.62,0.0,0.0,0.0,0.0,0.0,1,0,216174.62,0,0.0,0.0,
60459,White,28709,1,531.92,531.92,265.96,265.96,265.96,0.0,0.0,0.0,1,0,531.92,0,0.0,0.0,
60513,White,18753,1,182715.35,182715.35,182715.35,0.0,0.0,0.0,0.0,0.0,1,0,182715.35,0,0.0,0.0,
60714,White,29520,1,2170.33,2170.33,0.0,1306.9,1306.9,863.43,0.0,0.0,0,1,0,2170.33,2170.33,,2170.33
